type,population_size,max_iterations,iterations,winners,final_state_size,n,increment_size,max_state_size,best_number_actions,poison
steady,200,500,229,100,465,5,10,500,334,true
roulette,200,500,148,122,305,5,10,500,304,true
steady,200,500,274,101,495,5,10,500,324,true
roulette,200,500,148,120,305,5,10,500,304,true
steady,200,500,234,101,475,5,10,500,364,true
roulette,200,500,145,128,305,5,10,500,294,true
steady,200,500,246,101,495,5,10,500,414,true
roulette,200,500,156,124,325,5,10,500,304,true
steady,200,500,312,100,495,5,10,500,334,true
roulette,200,500,155,127,325,5,10,500,314,true
steady,200,500,279,100,495,5,10,500,334,true
roulette,200,500,149,119,305,5,10,500,294,true
steady,200,500,269,102,495,5,10,500,364,true
roulette,200,500,147,147,305,5,10,500,294,true
steady,200,500,240,100,495,5,10,500,324,true
roulette,200,500,152,127,315,5,10,500,304,true
steady,200,500,323,100,495,5,10,500,334,true
roulette,200,500,152,131,315,5,10,500,304,true
steady,200,500,405,101,495,5,10,500,394,true
roulette,200,500,148,108,305,5,10,500,294,true
roulette,200,500,146,117,305,5,10,500,294,false
steady,200,500,198,103,405,5,10,500,334,false
roulette,200,500,145,102,305,5,10,500,294,false
steady,200,500,327,100,495,5,10,500,324,false
roulette,200,500,147,119,305,5,10,500,294,false
steady,200,500,200,107,415,5,10,500,374,false
roulette,200,500,155,100,325,5,10,500,314,false
steady,200,500,311,102,495,5,10,500,324,false
roulette,200,500,145,103,305,5,10,500,284,false
steady,200,500,257,103,495,5,10,500,344,false
roulette,200,500,144,148,295,5,10,500,294,false
steady,200,500,318,101,495,5,10,500,374,false
roulette,200,500,151,119,315,5,10,500,294,false
steady,200,500,320,102,495,5,10,500,324,false
roulette,200,500,148,120,305,5,10,500,294,false
steady,200,500,262,101,495,5,10,500,304,false
roulette,200,500,144,102,295,5,10,500,294,false
roulette,500,500,150,296,315,5,10,500,294,true
steady,500,500,226,260,465,5,10,500,324,true
roulette,500,500,148,260,305,5,10,500,294,true
steady,500,500,246,253,495,5,10,500,314,true
roulette,500,500,149,266,305,5,10,500,294,true
steady,500,500,247,251,495,5,10,500,334,true
roulette,500,500,148,308,305,5,10,500,294,true
steady,500,500,216,252,445,5,10,500,324,true
roulette,500,500,148,344,305,5,10,500,294,true
steady,500,500,258,253,495,5,10,500,324,true
roulette,500,500,144,252,295,5,10,500,284,true
steady,500,500,241,250,495,5,10,500,314,true
roulette,500,500,146,310,305,5,10,500,294,true
steady,500,500,252,253,495,5,10,500,334,true
roulette,500,500,147,333,305,5,10,500,294,true
steady,500,500,427,251,495,5,10,500,334,true
roulette,500,500,148,327,305,5,10,500,294,true
